Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
1807,"2,050",77,"1,973","1,890","1,517",354,2,16,0,1,83,3456,3084,372,2410,717,80,68,161,126,386,363,257,183,143,45,83,73,235,48,111,14,20,21,89%,11%,4%,96%,92%,74%,17%,0%,1%,0%,0%,4%,30%,4%,3%,8%,6%,19%,18%,13%,9%,7%,2%,4%,4%,11%,2%,5%,1%,1%,1%
1903,"1,930",49,"1,881","1,826","1,741",42,0,27,8,8,55,3681,3270,411,1988,86,17,115,0,90,137,188,187,129,68,111,81,172,120,239,132,123,49,30,89%,11%,3%,97%,95%,90%,2%,0%,1%,0%,0%,3%,4%,1%,6%,0%,5%,7%,10%,10%,7%,4%,6%,4%,9%,6%,12%,7%,6%,3%,2%
1911,"2,397",73,"2,324","2,244","2,120",67,0,50,2,5,80,4296,3858,438,2220,185,112,51,0,17,78,309,238,222,132,115,83,99,119,244,120,92,69,120,90%,10%,3%,97%,94%,88%,3%,0%,2%,0%,0%,3%,8%,5%,2%,0%,1%,3%,13%,10%,9%,6%,5%,3%,4%,5%,10%,5%,4%,3%,5%
1914,"2,725",85,"2,640","2,509","2,216",254,2,29,0,8,131,5328,4644,684,2433,390,49,44,23,51,329,484,343,80,220,30,151,147,108,153,99,36,51,35,87%,13%,3%,97%,92%,81%,9%,0%,1%,0%,0%,5%,16%,2%,2%,1%,2%,12%,18%,13%,3%,8%,1%,6%,5%,4%,6%,4%,1%,2%,1%
1915,"2,005",55,"1,950","1,827","1,547",247,4,18,0,11,123,3627,3270,357,1931,224,16,0,0,0,403,479,244,37,63,73,137,79,142,90,35,89,38,6,90%,10%,3%,97%,91%,77%,12%,0%,1%,0%,1%,6%,12%,1%,0%,0%,0%,20%,24%,12%,2%,3%,4%,7%,4%,7%,4%,2%,4%,2%,0%
1916,"4,141",516,"3,625","3,430","2,763",570,7,67,0,23,195,6135,5559,576,3733,293,111,235,170,134,195,250,423,192,367,89,267,258,260,290,104,76,29,300,91%,9%,12%,88%,83%,67%,14%,0%,2%,0%,1%,5%,8%,3%,6%,4%,3%,5%,6%,10%,5%,9%,2%,6%,6%,6%,7%,3%,2%,1%,7%
1917,"3,391",121,"3,270","3,117","2,685",221,2,191,3,15,153,4863,4581,282,3581,317,346,216,68,170,226,248,428,249,170,246,199,249,206,132,148,68,124,89,94%,6%,4%,96%,92%,79%,7%,0%,6%,0%,0%,5%,9%,10%,6%,2%,5%,7%,7%,13%,7%,5%,7%,6%,7%,6%,4%,4%,2%,4%,3%
1918,"5,252",221,"5,031","4,797","4,422",248,3,89,0,35,234,7770,7308,462,5332,276,268,212,139,232,281,476,404,354,261,607,255,191,600,451,171,186,15,229,94%,6%,4%,96%,91%,84%,5%,0%,2%,0%,1%,4%,5%,5%,4%,3%,4%,5%,9%,8%,7%,5%,12%,5%,4%,11%,9%,3%,4%,0%,4%
1919,"2,177",69,"2,108","2,000","1,792",155,7,25,4,17,108,3219,2967,252,2183,208,102,55,54,131,151,396,81,129,223,57,152,106,101,74,114,99,125,33,92%,8%,3%,97%,92%,82%,7%,0%,1%,0%,1%,5%,10%,5%,3%,2%,6%,7%,18%,4%,6%,10%,3%,7%,5%,5%,3%,5%,5%,6%,2%
1920,"3,455",264,"3,191","2,991","2,562",314,0,90,1,24,200,5409,4857,552,3277,258,111,136,144,122,92,433,263,232,274,253,138,269,199,154,183,131,42,101,90%,10%,8%,92%,87%,74%,9%,0%,3%,0%,1%,6%,8%,3%,4%,4%,4%,3%,13%,8%,7%,8%,7%,4%,8%,6%,4%,5%,4%,1%,3%
2022,"2,550",89,"2,461","2,264","1,191",855,0,199,4,15,197,3708,3306,402,2475,420,51,84,9,146,115,349,187,267,26,147,118,391,229,156,64,33,82,21,89%,11%,3%,97%,89%,47%,34%,0%,8%,0%,1%,8%,17%,2%,3%,0%,6%,5%,14%,7%,10%,1%,6%,5%,15%,9%,6%,3%,1%,3%,1%
2023,"4,127",158,"3,969","3,767","3,162",190,6,385,0,24,202,6408,6084,324,3673,188,254,207,55,119,194,680,339,218,173,171,131,218,382,236,114,109,69,71,95%,5%,4%,96%,91%,77%,5%,0%,9%,0%,1%,5%,5%,6%,5%,1%,3%,5%,16%,8%,5%,4%,4%,3%,5%,9%,6%,3%,3%,2%,2%
2413,"3,395",122,"3,273","3,107","2,585",424,3,87,0,8,166,6675,5394,1281,3599,395,188,126,90,73,134,321,564,394,255,237,216,170,309,245,110,52,23,92,81%,19%,4%,96%,92%,76%,12%,0%,3%,0%,0%,5%,11%,6%,4%,3%,2%,4%,9%,17%,12%,8%,7%,6%,5%,9%,7%,3%,2%,1%,3%
2509,"1,140",26,"1,114","1,050",456,578,2,6,0,8,64,2013,1677,336,1155,302,51,55,29,152,70,88,187,132,75,59,18,76,65,11,36,27,0,24,83%,17%,2%,98%,92%,40%,51%,0%,1%,0%,1%,6%,26%,4%,5%,3%,13%,6%,8%,16%,12%,7%,5%,2%,7%,6%,1%,3%,2%,0%,2%
2602,"2,092",65,"2,027","1,910","1,216",664,0,25,0,5,117,3081,2730,351,2175,359,153,136,104,102,45,292,191,218,130,77,111,289,100,121,46,59,27,8,89%,11%,3%,97%,91%,58%,32%,0%,1%,0%,0%,6%,17%,7%,7%,5%,5%,2%,14%,9%,10%,6%,4%,5%,14%,5%,6%,2%,3%,1%,0%
2607,"1,653",67,"1,586","1,517",896,597,0,10,1,13,69,2388,2097,291,1627,247,33,83,125,52,147,196,106,79,116,116,55,290,35,116,47,21,19,2,88%,12%,4%,96%,92%,54%,36%,0%,1%,0%,1%,4%,15%,2%,5%,8%,3%,9%,12%,6%,5%,7%,7%,3%,18%,2%,7%,3%,1%,1%,0%
2613,"2,767",56,"2,711","2,603",840,"1,732",3,16,0,12,108,3228,2982,246,3136,1148,485,199,330,205,192,198,425,159,151,202,116,97,80,162,38,50,49,19,92%,8%,2%,98%,94%,30%,63%,0%,1%,0%,0%,4%,37%,18%,7%,12%,7%,7%,7%,15%,6%,5%,7%,4%,4%,3%,6%,1%,2%,2%,1%
2614,"2,241",81,"2,160","2,075",566,"1,476",4,5,2,22,85,3618,2973,645,1924,629,19,120,139,133,144,35,154,111,18,133,182,222,192,164,95,47,28,59,82%,18%,4%,96%,93%,25%,66%,0%,0%,0%,1%,4%,33%,1%,5%,6%,6%,6%,2%,7%,5%,1%,6%,8%,10%,9%,7%,4%,2%,1%,3%
2615,"1,524",49,"1,475","1,408",469,907,5,11,0,16,67,2610,2121,489,1710,251,62,102,158,133,224,102,125,138,146,121,42,35,45,143,67,18,72,13,81%,19%,3%,97%,92%,31%,60%,0%,1%,0%,1%,4%,15%,4%,7%,10%,9%,15%,7%,8%,9%,10%,8%,3%,2%,3%,9%,4%,1%,5%,1%
2620,"2,400",65,"2,335","2,215","1,533",634,3,15,0,30,120,3783,3261,522,2608,828,225,108,300,94,170,306,121,309,60,39,86,143,265,161,194,35,72,81,86%,14%,3%,97%,92%,64%,26%,0%,1%,0%,1%,5%,32%,9%,5%,13%,4%,7%,13%,5%,13%,3%,2%,4%,6%,11%,7%,8%,1%,3%,3%
2701,"2,578",93,"2,485","2,362","1,701",596,3,37,0,25,123,3678,3360,318,2485,84,144,45,78,110,118,150,262,261,166,140,284,40,200,225,112,100,18,38,91%,9%,4%,96%,92%,66%,23%,0%,1%,0%,1%,5%,3%,6%,2%,3%,4%,5%,6%,10%,10%,6%,5%,11%,2%,8%,9%,4%,4%,1%,1%
2703,"1,906",59,"1,847","1,758","1,042",686,1,21,0,8,89,2973,2679,294,2108,469,217,58,92,80,76,203,347,187,65,72,92,212,140,90,155,20,5,5,90%,10%,3%,97%,92%,55%,36%,0%,1%,0%,0%,5%,22%,11%,3%,5%,4%,4%,11%,18%,10%,3%,4%,5%,11%,7%,5%,8%,1%,0%,0%
2708,"2,621",73,"2,548","2,440","1,889",502,5,28,0,16,108,3972,3738,234,2348,136,118,70,142,24,103,240,168,252,178,162,239,243,142,123,79,41,44,48,94%,6%,3%,97%,93%,72%,19%,0%,1%,0%,1%,4%,6%,5%,3%,5%,1%,4%,9%,6%,10%,7%,6%,9%,9%,5%,5%,3%,2%,2%,2%
2716,"4,046",98,"3,948","3,693","1,686","1,904",7,57,3,36,255,6192,5211,981,4442,1287,258,147,494,251,224,104,520,236,348,155,290,271,609,271,152,38,17,57,84%,16%,2%,98%,91%,42%,47%,0%,1%,0%,1%,6%,29%,6%,4%,12%,6%,6%,3%,13%,6%,9%,4%,7%,7%,15%,7%,4%,1%,0%,1%
2814,"2,552",65,"2,487","2,289","1,245",951,5,52,0,36,198,3360,3111,249,2559,814,313,94,189,77,152,202,161,171,280,165,80,194,184,86,72,50,66,23,93%,7%,3%,97%,90%,49%,37%,0%,2%,0%,1%,8%,32%,12%,4%,7%,3%,6%,8%,6%,7%,11%,6%,3%,8%,7%,3%,3%,2%,3%,1%
2815,"1,447",30,"1,417","1,344","1,012",303,3,15,0,11,73,2112,1929,183,1483,225,126,115,146,110,30,127,45,103,166,89,64,75,106,76,51,13,32,9,91%,9%,2%,98%,93%,70%,21%,0%,1%,0%,1%,5%,15%,9%,8%,10%,8%,2%,9%,3%,7%,11%,6%,4%,5%,7%,5%,4%,1%,2%,1%
2901,"2,130",92,"2,038","1,908","1,424",347,16,109,1,11,130,3096,2733,363,1789,267,98,64,89,184,77,95,185,82,209,99,100,102,110,119,104,40,18,14,88%,12%,4%,96%,90%,67%,16%,1%,5%,0%,1%,6%,15%,5%,3%,4%,9%,4%,4%,9%,4%,10%,5%,5%,5%,5%,6%,5%,2%,1%,1%
2902,"4,141",157,"3,984","3,744","2,647",708,2,354,1,32,240,5907,5259,648,4043,775,171,141,192,167,342,301,383,118,240,232,202,238,521,257,201,178,22,137,89%,11%,4%,96%,90%,64%,17%,0%,9%,0%,1%,6%,19%,4%,3%,5%,4%,8%,7%,9%,3%,6%,6%,5%,6%,13%,6%,5%,4%,1%,3%
2904,"4,019",154,"3,865","3,676","2,896",588,3,170,0,19,189,6048,5430,618,3447,422,173,117,137,149,144,351,340,303,150,143,328,223,244,237,203,132,65,43,90%,10%,4%,96%,91%,72%,15%,0%,4%,0%,0%,5%,12%,4%,3%,3%,4%,4%,9%,8%,8%,4%,4%,8%,6%,6%,6%,5%,3%,2%,1%
3001,"3,493",157,"3,336","3,061","1,138","1,776",17,89,0,41,275,5142,4083,1059,3680,1132,148,310,226,337,478,231,410,314,158,251,160,49,195,285,95,30,7,37,79%,21%,4%,96%,88%,33%,51%,0%,3%,0%,1%,8%,31%,4%,9%,6%,10%,14%,7%,12%,9%,5%,7%,5%,1%,6%,8%,3%,1%,0%,1%
3102,"3,155",65,"3,090","2,959","2,750",167,2,35,0,5,131,4689,4242,447,3288,438,198,81,207,152,147,120,245,119,376,159,229,303,283,162,134,149,104,127,90%,10%,2%,98%,94%,87%,5%,0%,1%,0%,0%,4%,13%,6%,3%,7%,5%,5%,4%,8%,4%,12%,5%,7%,10%,9%,5%,4%,5%,3%,4%
3204,"1,870",46,"1,824","1,734","1,532",152,5,26,0,19,90,2691,2451,240,1842,305,103,40,67,74,63,136,145,172,76,77,112,185,146,109,177,56,51,53,91%,9%,2%,98%,93%,82%,8%,0%,1%,0%,1%,5%,17%,6%,2%,4%,4%,3%,7%,8%,9%,4%,4%,6%,10%,8%,6%,9%,3%,3%,3%
3206,"2,243",54,"2,189","2,092","1,874",165,2,38,0,13,97,3156,2982,174,2202,162,69,99,62,228,113,144,342,87,90,174,146,129,170,135,41,93,27,53,94%,6%,2%,98%,93%,84%,7%,0%,2%,0%,1%,4%,7%,3%,4%,3%,10%,5%,6%,15%,4%,4%,8%,7%,6%,8%,6%,2%,4%,1%,2%
3207,"1,613",64,"1,549","1,487","1,422",47,1,12,0,5,62,2328,2160,168,1765,111,74,111,138,78,114,147,267,75,78,56,156,104,112,65,104,41,20,25,93%,7%,4%,96%,92%,88%,3%,0%,1%,0%,0%,4%,6%,5%,7%,9%,5%,7%,9%,17%,5%,5%,3%,10%,6%,7%,4%,6%,3%,1%,2%
4011,"4,601",44,"4,557","4,414","4,245",89,3,62,0,15,143,6837,6420,417,4464,353,44,37,149,367,138,177,283,204,211,300,206,256,749,421,318,356,112,158,94%,6%,1%,99%,96%,92%,2%,0%,1%,0%,0%,3%,8%,1%,1%,3%,8%,3%,4%,6%,4%,5%,7%,4%,6%,16%,9%,7%,8%,2%,3%
4012,"2,911",77,"2,834","2,630","2,287",287,6,29,0,21,204,4944,4110,834,2653,362,122,89,170,246,92,147,144,247,87,184,256,204,191,201,26,116,61,70,83%,17%,3%,97%,90%,79%,10%,0%,1%,0%,1%,7%,14%,4%,3%,6%,8%,3%,5%,5%,8%,3%,6%,9%,7%,7%,7%,1%,4%,2%,2%
4013,"2,645",27,"2,618","2,497","2,428",42,2,17,1,7,121,3699,3447,252,2842,216,231,168,48,153,144,259,148,248,139,122,148,177,356,217,139,61,55,70,93%,7%,1%,99%,94%,92%,2%,0%,1%,0%,0%,5%,8%,9%,6%,2%,6%,5%,10%,6%,9%,5%,5%,6%,7%,13%,8%,5%,2%,2%,3%
4020,"3,240",63,"3,177","2,995","2,748",218,5,19,1,4,182,5025,4482,543,3083,365,144,89,123,86,198,150,191,205,225,163,207,423,241,334,260,46,59,59,89%,11%,2%,98%,92%,85%,7%,0%,1%,0%,0%,6%,12%,4%,3%,4%,3%,6%,5%,6%,6%,7%,5%,6%,13%,7%,10%,8%,1%,2%,2%
4035,"4,352",96,"4,256","3,956","3,553",348,4,24,0,27,300,7002,5988,1014,4286,844,274,243,174,203,196,322,301,187,234,201,261,380,470,271,283,51,40,195,86%,14%,2%,98%,91%,82%,8%,0%,1%,0%,1%,7%,20%,6%,6%,4%,5%,5%,7%,7%,4%,5%,5%,6%,9%,11%,6%,7%,1%,1%,4%
4040,"1,490",15,"1,475","1,380","1,318",41,2,11,0,8,95,2334,1974,360,1394,187,77,88,117,49,58,52,80,76,101,139,131,92,97,96,60,15,44,27,85%,15%,1%,99%,93%,88%,3%,0%,1%,0%,1%,6%,13%,5%,6%,8%,3%,4%,3%,5%,5%,7%,9%,9%,6%,7%,6%,4%,1%,3%,2%
4050,"1,161",16,"1,145","1,101","1,090",2,3,6,0,0,44,1605,1497,108,1097,89,12,76,40,60,56,64,73,47,63,55,45,164,95,82,65,31,16,53,93%,7%,1%,99%,95%,94%,0%,0%,1%,0%,0%,4%,8%,1%,7%,3%,5%,5%,6%,6%,4%,5%,5%,4%,14%,8%,7%,6%,3%,1%,5%
4060,"2,210",18,"2,192","2,143","2,116",7,0,10,1,9,49,3096,2931,165,2194,232,106,176,111,70,79,58,96,137,257,160,119,127,219,195,115,56,52,61,95%,5%,1%,99%,97%,96%,0%,0%,0%,0%,0%,2%,11%,5%,8%,5%,3%,4%,3%,4%,6%,12%,7%,5%,6%,10%,9%,5%,3%,2%,3%
4100,"1,183",25,"1,158","1,118","1,087",5,3,15,1,7,40,1515,1461,54,1204,24,70,74,109,95,22,3,27,129,63,68,88,111,79,49,79,69,47,22,96%,4%,2%,98%,95%,92%,0%,0%,1%,0%,1%,3%,2%,6%,6%,9%,8%,2%,0%,2%,11%,5%,6%,7%,9%,7%,4%,7%,6%,4%,2%
4131,"6,998",190,"6,808","6,615","5,742",122,11,723,4,13,193,8595,8367,228,6533,234,370,342,509,488,279,288,221,692,407,365,412,564,487,359,316,214,249,136,97%,3%,3%,97%,95%,82%,2%,0%,10%,0%,0%,3%,4%,5%,5%,7%,7%,4%,4%,3%,10%,6%,5%,6%,8%,7%,5%,5%,3%,4%,2%
4133,"4,876",72,"4,804","4,644","4,388",46,5,199,0,6,160,5811,5646,165,4361,121,206,297,294,129,92,147,192,225,461,322,182,335,341,278,383,331,186,117,97%,3%,1%,99%,95%,90%,1%,0%,4%,0%,0%,3%,3%,4%,6%,6%,3%,2%,3%,4%,5%,9%,7%,4%,7%,7%,6%,8%,7%,4%,2%
4134,"4,517",93,"4,424","4,255","3,902",60,2,277,1,13,169,5295,5160,135,4476,32,321,303,400,156,78,160,177,335,427,297,210,262,447,274,188,128,82,231,97%,3%,2%,98%,94%,86%,1%,0%,6%,0%,0%,4%,1%,7%,7%,9%,3%,2%,4%,4%,7%,9%,7%,5%,6%,10%,6%,4%,3%,2%,5%
4135,"6,621",160,"6,461","6,280","5,487",247,0,527,0,19,181,9654,8850,804,6382,418,194,211,200,647,604,946,295,505,345,439,517,414,355,374,246,182,150,297,92%,8%,2%,98%,95%,83%,4%,0%,8%,0%,0%,3%,7%,3%,3%,3%,10%,9%,14%,4%,8%,5%,7%,8%,6%,5%,6%,4%,3%,2%,4%
4142,"5,936",104,"5,832","5,659","5,487",31,1,131,0,9,173,7053,6768,285,5673,229,606,333,238,299,140,337,306,381,510,433,247,478,321,607,201,167,73,74,96%,4%,2%,98%,95%,92%,1%,0%,2%,0%,0%,3%,4%,10%,6%,4%,5%,2%,6%,5%,6%,9%,7%,4%,8%,5%,10%,3%,3%,1%,1%
4160,"1,540",24,"1,516","1,463","1,443",10,3,3,0,4,53,2457,2238,219,1515,147,55,39,45,73,53,86,89,59,52,71,150,112,224,125,133,62,47,40,91%,9%,2%,98%,95%,94%,1%,0%,0%,0%,0%,3%,10%,4%,3%,3%,5%,3%,6%,6%,4%,3%,5%,10%,7%,15%,8%,9%,4%,3%,3%
4171,"2,166",38,"2,128","2,035","1,997",15,0,2,0,21,93,3132,2928,204,2136,81,99,79,83,100,21,84,151,115,129,81,176,143,314,301,88,50,72,69,93%,7%,2%,98%,94%,92%,1%,0%,0%,0%,1%,4%,4%,5%,4%,4%,5%,1%,4%,7%,5%,6%,4%,8%,7%,14%,14%,4%,2%,3%,3%
4172,"1,234",11,"1,223","1,160","1,119",32,3,0,0,6,63,2082,1896,186,1200,105,74,69,60,53,69,104,24,94,49,55,32,154,91,91,58,76,33,14,91%,9%,1%,99%,94%,91%,3%,0%,0%,0%,0%,5%,9%,6%,6%,5%,4%,6%,8%,2%,8%,4%,4%,3%,12%,7%,7%,5%,6%,3%,1%
4180,"1,672",26,"1,646","1,567","1,554",1,0,9,0,3,79,2550,2415,135,1704,110,81,65,85,53,61,161,118,108,77,116,95,107,93,143,97,136,50,58,95%,5%,2%,98%,94%,93%,0%,0%,1%,0%,0%,5%,6%,5%,4%,5%,3%,4%,10%,7%,6%,5%,7%,6%,6%,6%,9%,6%,8%,3%,3%
4190,"3,133",46,"3,087","2,989","2,887",37,2,55,0,8,98,5163,4542,621,2883,328,123,96,93,91,106,175,272,104,102,103,125,261,362,415,163,249,134,119,88%,12%,1%,99%,95%,92%,1%,0%,2%,0%,0%,3%,11%,4%,3%,3%,3%,3%,6%,9%,3%,3%,3%,4%,8%,12%,13%,5%,8%,4%,4%
4200,"1,454",35,"1,419","1,359","1,182",68,0,102,0,7,60,2766,2553,213,1469,304,43,24,55,63,35,82,141,58,59,132,86,153,85,107,169,55,90,32,92%,8%,2%,98%,93%,81%,5%,0%,7%,0%,0%,4%,21%,3%,2%,4%,4%,2%,6%,10%,4%,4%,9%,6%,11%,6%,7%,12%,4%,6%,2%
4211,"4,969",150,"4,819","4,628","4,021",101,2,468,0,36,191,6675,6135,540,4874,185,495,276,296,162,19,150,394,389,219,394,224,297,393,428,203,148,152,355,92%,8%,3%,97%,93%,81%,2%,0%,9%,0%,1%,4%,4%,10%,6%,6%,3%,0%,3%,8%,8%,4%,8%,5%,6%,8%,9%,4%,3%,3%,7%
4212,"4,315",116,"4,199","4,057","3,766",53,0,225,0,13,142,5463,5196,267,4144,154,175,154,352,169,230,133,170,264,287,235,275,350,322,331,221,235,118,131,95%,5%,3%,97%,94%,87%,1%,0%,5%,0%,0%,3%,4%,4%,4%,8%,4%,5%,3%,4%,6%,7%,5%,6%,8%,7%,8%,5%,5%,3%,3%
4220,"5,343",151,"5,192","5,017","4,548",59,0,398,0,12,175,5871,5502,369,5264,68,173,373,489,565,123,149,114,254,300,403,589,328,362,454,306,176,63,43,94%,6%,3%,97%,94%,85%,1%,0%,7%,0%,0%,3%,1%,3%,7%,9%,11%,2%,3%,2%,5%,6%,8%,11%,6%,7%,8%,6%,3%,1%,1%
4230,"2,916",93,"2,823","2,723","2,487",56,1,172,0,7,100,4434,4101,333,2859,47,331,254,245,97,44,64,273,453,193,150,154,102,84,170,83,78,40,51,92%,8%,3%,97%,93%,85%,2%,0%,6%,0%,0%,3%,2%,11%,9%,8%,3%,2%,2%,9%,16%,7%,5%,5%,3%,3%,6%,3%,3%,1%,2%
4240,"3,187",115,"3,072","2,912","2,469",362,3,60,0,18,160,5553,4842,711,3131,559,151,139,69,321,185,315,288,160,177,227,133,159,324,174,108,78,25,113,87%,13%,4%,96%,91%,77%,11%,0%,2%,0%,1%,5%,18%,5%,4%,2%,10%,6%,10%,9%,5%,6%,7%,4%,5%,10%,5%,3%,2%,1%,4%
4250,"3,437",115,"3,322","3,172","2,968",141,2,36,3,22,150,5418,4887,531,3383,536,230,168,128,83,153,222,272,271,219,110,170,377,271,262,168,146,38,95,90%,10%,3%,97%,92%,86%,4%,0%,1%,0%,1%,4%,16%,7%,5%,4%,2%,4%,6%,8%,8%,6%,3%,5%,11%,8%,8%,5%,4%,1%,3%
4263,"5,982",91,"5,891","5,738","5,620",67,1,33,0,17,153,7629,7404,225,6071,281,365,301,359,231,111,340,464,539,450,235,241,436,510,450,439,205,100,339,97%,3%,2%,98%,96%,94%,1%,0%,1%,0%,0%,3%,5%,6%,5%,6%,4%,2%,6%,8%,9%,8%,4%,4%,7%,9%,8%,7%,3%,2%,6%
4264,"4,435",64,"4,371","4,216","4,132",37,0,31,0,16,155,6348,6117,231,4162,337,210,227,224,117,125,253,409,405,127,123,280,314,388,419,205,173,102,61,96%,4%,1%,99%,95%,93%,1%,0%,1%,0%,0%,3%,8%,5%,5%,5%,3%,3%,6%,9%,9%,3%,3%,6%,7%,9%,9%,5%,4%,2%,1%
4267,"2,303",62,"2,241","2,181","2,093",24,5,53,0,6,60,3636,3477,159,2260,103,114,70,130,46,87,140,232,125,87,161,107,123,158,180,172,162,78,88,96%,4%,3%,97%,95%,91%,1%,0%,2%,0%,0%,3%,5%,5%,3%,6%,2%,4%,6%,10%,5%,4%,7%,5%,5%,7%,8%,7%,7%,3%,4%
4268,"5,150",75,"5,075","4,941","4,801",44,0,78,0,18,134,6312,6153,159,5235,115,162,195,330,408,212,239,211,248,346,225,335,509,362,493,480,256,175,49,97%,3%,1%,99%,96%,93%,1%,0%,2%,0%,0%,3%,2%,3%,4%,6%,8%,4%,5%,4%,5%,7%,4%,7%,10%,7%,10%,9%,5%,3%,1%
4270,"3,376",115,"3,261","3,099","2,947",120,7,19,0,6,162,6114,5277,837,3333,551,28,64,126,263,321,192,410,260,121,98,355,196,428,224,123,45,48,31,86%,14%,3%,97%,92%,87%,4%,0%,1%,0%,0%,5%,17%,1%,2%,4%,8%,10%,6%,12%,8%,4%,3%,11%,6%,13%,7%,4%,1%,1%,1%
4271,"5,340",92,"5,248","5,110","4,989",43,6,60,0,12,138,6780,6612,168,5321,189,302,232,222,201,246,317,591,377,155,295,542,338,418,592,289,130,80,15,98%,2%,2%,98%,96%,93%,1%,0%,1%,0%,0%,3%,4%,6%,4%,4%,4%,5%,6%,11%,7%,3%,6%,10%,6%,8%,11%,5%,2%,1%,0%
