Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
4272,"4,922",80,"4,842","4,685","4,531",74,6,61,0,13,157,7353,6723,630,4606,239,106,184,61,197,285,449,556,270,238,276,208,315,364,333,71,404,158,145,91%,9%,2%,98%,95%,92%,2%,0%,1%,0%,0%,3%,5%,2%,4%,1%,4%,6%,9%,11%,5%,5%,6%,4%,6%,7%,7%,1%,8%,3%,3%
4281,"1,187",21,"1,166","1,116","1,093",11,2,6,0,4,50,1767,1569,198,1103,18,33,21,27,64,16,112,87,49,83,31,39,79,195,89,77,14,40,52,89%,11%,2%,98%,94%,92%,1%,0%,1%,0%,0%,4%,2%,3%,2%,2%,5%,1%,9%,7%,4%,7%,3%,3%,7%,16%,7%,6%,1%,3%,4%
4282,"2,068",16,"2,052","1,991","1,925",36,0,13,1,16,61,2943,2805,138,2083,170,88,133,91,69,85,117,145,137,194,96,101,229,128,156,133,77,45,68,95%,5%,1%,99%,96%,93%,2%,0%,1%,0%,1%,3%,8%,4%,6%,4%,3%,4%,6%,7%,7%,9%,5%,5%,11%,6%,8%,6%,4%,2%,3%
4291,"2,607",45,"2,562","2,440","2,224",132,2,74,1,7,122,3747,3501,246,2444,165,142,83,52,170,74,229,270,169,131,134,241,114,87,174,139,114,58,88,93%,7%,2%,98%,94%,85%,5%,0%,3%,0%,0%,5%,7%,5%,3%,2%,7%,3%,9%,10%,6%,5%,5%,9%,4%,3%,7%,5%,4%,2%,3%
4293,"6,546",101,"6,445","6,253","5,840",152,0,242,0,19,192,8871,8616,255,6516,416,626,290,346,388,124,306,619,590,325,368,301,288,617,365,448,207,168,345,97%,3%,2%,98%,96%,89%,2%,0%,4%,0%,0%,3%,6%,10%,4%,5%,6%,2%,5%,9%,9%,5%,6%,5%,4%,9%,6%,7%,3%,3%,5%
4294,"4,498",92,"4,406","4,227","4,090",61,0,61,0,15,179,6057,5877,180,4379,370,416,183,272,98,304,135,449,334,251,102,278,251,417,344,240,140,53,112,97%,3%,2%,98%,94%,91%,1%,0%,1%,0%,0%,4%,8%,9%,4%,6%,2%,7%,3%,10%,7%,6%,2%,6%,6%,9%,8%,5%,3%,1%,2%
4295,"4,412",105,"4,307","4,170","3,716",180,3,264,0,7,137,7944,7428,516,4363,318,128,204,119,255,53,355,501,405,309,180,143,189,478,462,290,92,119,137,94%,6%,2%,98%,95%,84%,4%,0%,6%,0%,0%,3%,7%,3%,5%,3%,6%,1%,8%,11%,9%,7%,4%,3%,4%,11%,10%,7%,2%,3%,3%
4296,"3,588",72,"3,516","3,353","3,068",151,6,113,0,15,163,5301,5073,228,3551,238,273,182,166,148,125,343,416,223,277,130,286,140,225,165,234,149,89,23,96%,4%,2%,98%,93%,86%,4%,0%,3%,0%,0%,5%,7%,8%,5%,5%,4%,3%,10%,12%,6%,8%,4%,8%,4%,6%,5%,7%,4%,2%,1%
4297,"2,370",26,"2,344","2,265","2,131",92,0,24,0,18,79,3393,3201,192,2123,228,63,125,142,59,113,94,134,99,183,53,183,132,106,180,152,79,94,157,94%,6%,1%,99%,96%,90%,4%,0%,1%,0%,1%,3%,11%,3%,5%,6%,2%,5%,4%,6%,4%,8%,2%,8%,6%,4%,8%,6%,3%,4%,7%
4301,"2,134",53,"2,081","1,985","1,876",67,5,24,3,10,96,2991,2820,171,1936,324,70,111,64,50,104,156,214,179,183,108,70,105,141,251,72,31,26,7,94%,6%,2%,98%,93%,88%,3%,0%,1%,0%,0%,4%,17%,3%,5%,3%,2%,5%,7%,10%,8%,9%,5%,3%,5%,7%,12%,3%,1%,1%,0%
4302,"4,551",124,"4,427","4,246","4,057",121,2,55,0,11,181,6600,6231,369,4640,123,262,278,160,189,383,325,366,345,320,305,385,247,403,170,217,101,49,135,94%,6%,3%,97%,93%,89%,3%,0%,1%,0%,0%,4%,3%,6%,6%,4%,4%,8%,7%,8%,8%,7%,7%,8%,5%,9%,4%,5%,2%,1%,3%
4311,"3,253",88,"3,165","2,976","2,421",471,5,58,2,19,189,5562,5139,423,3192,320,222,190,50,72,133,282,454,364,208,114,125,170,217,288,80,127,48,48,92%,8%,3%,97%,91%,74%,14%,0%,2%,0%,1%,6%,10%,7%,6%,2%,2%,4%,9%,14%,11%,6%,4%,4%,5%,7%,9%,2%,4%,1%,1%
4314,"1,893",57,"1,836","1,730","1,520",182,0,25,1,2,106,2949,2688,261,1892,67,122,81,136,78,87,238,149,186,157,107,95,121,67,29,105,63,9,66,91%,9%,3%,97%,91%,80%,10%,0%,1%,0%,0%,6%,4%,6%,4%,7%,4%,5%,13%,8%,10%,8%,6%,5%,6%,4%,2%,6%,3%,0%,3%
4315,"3,165",99,"3,066","2,899","2,475",360,6,44,0,14,167,5664,5205,459,3098,465,280,127,52,37,108,598,301,409,93,155,141,100,239,156,190,24,53,35,92%,8%,3%,97%,92%,78%,11%,0%,1%,0%,0%,5%,15%,9%,4%,2%,1%,3%,19%,10%,13%,3%,5%,4%,3%,8%,5%,6%,1%,2%,1%
4323,"2,183",66,"2,117","2,021","1,795",202,4,13,0,7,96,3846,3627,219,2253,284,108,25,130,65,158,210,107,186,131,82,36,123,232,149,138,201,87,144,94%,6%,3%,97%,93%,82%,9%,0%,1%,0%,0%,4%,13%,5%,1%,6%,3%,7%,10%,5%,9%,6%,4%,2%,6%,11%,7%,6%,9%,4%,7%
4324,"2,579",70,"2,509","2,386","1,993",324,5,45,2,17,123,4398,4005,393,2377,355,62,78,53,63,167,364,165,159,128,119,153,156,184,190,167,58,9,102,91%,9%,3%,97%,93%,77%,13%,0%,2%,0%,1%,5%,15%,2%,3%,2%,2%,6%,14%,6%,6%,5%,5%,6%,6%,7%,7%,6%,2%,0%,4%
4340,"1,918",51,"1,867","1,777","1,674",72,4,23,3,1,90,2391,2244,147,1919,139,133,121,136,114,56,114,186,160,146,126,110,91,122,94,72,102,25,11,94%,6%,3%,97%,93%,87%,4%,0%,1%,0%,0%,5%,7%,7%,6%,7%,6%,3%,6%,10%,8%,8%,7%,6%,5%,6%,5%,4%,5%,1%,1%
4350,"2,525",92,"2,433","2,306","2,142",102,4,47,0,11,127,3681,3507,174,2323,301,157,99,186,161,87,157,202,258,129,177,130,155,152,130,101,90,32,55,95%,5%,4%,96%,91%,85%,4%,0%,2%,0%,0%,5%,13%,6%,4%,7%,6%,3%,6%,8%,10%,5%,7%,5%,6%,6%,5%,4%,4%,1%,2%
4370,"7,178",133,"7,045","6,841","6,432",140,3,234,4,28,204,8631,8244,387,7071,253,541,591,403,376,278,176,343,730,418,443,576,439,240,463,548,220,254,105,96%,4%,2%,98%,95%,90%,2%,0%,3%,0%,0%,3%,4%,8%,8%,6%,5%,4%,2%,5%,10%,6%,6%,8%,6%,3%,6%,8%,3%,4%,1%
4390,"1,505",39,"1,466","1,424","1,359",26,0,22,3,14,42,1740,1650,90,1650,127,79,92,156,68,42,91,130,122,64,152,98,127,94,139,74,27,59,36,95%,5%,3%,97%,95%,90%,2%,0%,1%,0%,1%,3%,8%,5%,6%,10%,5%,3%,6%,9%,8%,4%,10%,7%,8%,6%,9%,5%,2%,4%,2%
4455,"3,907",128,"3,779","3,590","3,301",195,6,71,1,16,189,6024,5328,696,3850,269,273,316,142,265,165,231,282,288,201,185,337,237,218,149,130,159,78,194,88%,12%,3%,97%,92%,84%,5%,0%,2%,0%,0%,5%,7%,7%,8%,4%,7%,4%,6%,7%,7%,5%,5%,9%,6%,6%,4%,3%,4%,2%,5%
4460,"1,669",56,"1,613","1,559","1,518",13,0,22,0,6,54,1920,1803,117,1582,45,99,102,122,109,73,27,53,107,127,76,110,130,119,100,64,63,57,44,94%,6%,3%,97%,93%,91%,1%,0%,1%,0%,0%,3%,3%,6%,6%,7%,7%,4%,2%,3%,6%,8%,5%,7%,8%,7%,6%,4%,4%,3%,3%
4470,"1,624",59,"1,565","1,498","1,396",55,2,35,0,10,67,1899,1794,105,1566,72,148,109,99,84,69,153,82,134,121,84,84,74,100,69,39,52,53,16,94%,6%,4%,96%,92%,86%,3%,0%,2%,0%,1%,4%,5%,9%,7%,6%,5%,4%,9%,5%,8%,7%,5%,5%,5%,6%,4%,2%,3%,3%,1%
4480,"1,162",43,"1,119","1,023",904,94,2,23,0,0,96,1836,1626,210,1090,44,43,53,70,69,26,27,45,96,131,98,54,32,84,106,65,46,32,13,89%,11%,4%,96%,88%,78%,8%,0%,2%,0%,0%,8%,4%,4%,5%,6%,6%,2%,2%,4%,8%,11%,8%,5%,3%,7%,9%,6%,4%,3%,1%
4490,"2,488",57,"2,431","2,333","2,191",91,8,37,0,6,98,3345,3102,243,2310,116,63,101,164,142,42,126,131,89,120,102,148,271,215,276,99,49,101,71,93%,7%,2%,98%,94%,88%,4%,0%,1%,0%,0%,4%,5%,3%,4%,7%,6%,2%,5%,5%,4%,5%,4%,6%,11%,9%,11%,4%,2%,4%,3%
4507,"3,033",151,"2,882","2,698","2,412",247,3,15,1,20,184,4938,4464,474,2901,454,124,86,179,172,210,252,201,238,298,182,107,94,154,133,184,168,76,43,90%,10%,5%,95%,89%,80%,8%,0%,0%,0%,1%,6%,16%,4%,3%,6%,6%,7%,8%,7%,8%,10%,6%,4%,3%,5%,4%,6%,6%,3%,1%
4508,"2,526",192,"2,334","2,167","1,752",382,8,12,0,13,167,4242,3744,498,2563,370,91,153,237,119,47,231,220,231,195,72,181,122,115,170,272,43,28,36,88%,12%,8%,92%,86%,69%,15%,0%,0%,0%,1%,7%,14%,4%,6%,9%,5%,2%,9%,9%,9%,8%,3%,7%,5%,5%,7%,11%,2%,1%,1%
4513,"7,810",177,"7,633","7,357","6,780",182,2,363,3,27,276,9729,9087,642,7094,229,204,486,595,324,194,258,169,463,475,252,471,745,494,545,595,345,351,142,93%,7%,2%,98%,94%,87%,2%,0%,5%,0%,0%,4%,3%,3%,6%,8%,4%,2%,3%,2%,6%,6%,3%,6%,10%,6%,7%,8%,4%,4%,2%
4520,"6,372",167,"6,205","5,980","5,698",144,0,104,3,31,225,8136,7734,402,6384,133,443,397,235,123,603,277,501,703,213,264,396,435,811,371,305,182,114,69,95%,5%,3%,97%,94%,89%,2%,0%,2%,0%,0%,4%,2%,7%,6%,4%,2%,9%,4%,8%,11%,3%,4%,6%,7%,13%,6%,5%,3%,2%,1%
4550,"1,475",17,"1,458","1,376","1,343",24,1,7,0,1,82,2073,1935,138,1456,122,78,66,66,62,34,96,137,105,106,97,138,63,122,74,92,65,14,50,93%,7%,1%,99%,93%,91%,2%,0%,0%,0%,0%,6%,8%,5%,4%,4%,4%,2%,7%,9%,7%,7%,7%,9%,4%,8%,5%,6%,4%,1%,3%
4571,"1,406",35,"1,371","1,312","1,238",52,0,18,0,4,59,2397,2241,156,1441,184,76,38,67,49,63,124,191,71,97,72,98,108,78,144,53,93,30,5,93%,7%,2%,98%,93%,88%,4%,0%,1%,0%,0%,4%,13%,5%,3%,5%,3%,4%,9%,14%,5%,7%,5%,7%,8%,6%,10%,4%,7%,2%,0%
4572,"3,398",75,"3,323","3,193","2,989",146,2,42,0,14,130,5364,4917,447,3275,304,165,145,132,216,139,223,238,316,235,168,278,157,151,184,212,91,129,101,92%,8%,2%,98%,94%,88%,4%,0%,1%,0%,0%,4%,9%,5%,4%,4%,6%,4%,7%,7%,9%,7%,5%,8%,5%,4%,5%,6%,3%,4%,3%
4610,"1,108",61,"1,047",979,877,87,5,8,2,0,68,1911,1743,168,1031,122,52,33,34,67,40,52,44,114,86,49,49,67,97,79,77,46,28,17,91%,9%,6%,94%,88%,79%,8%,0%,1%,0%,0%,6%,12%,5%,3%,3%,6%,4%,5%,4%,10%,8%,4%,4%,6%,9%,7%,7%,4%,3%,2%
4621,"2,524",90,"2,434","2,310","1,613",648,1,29,0,19,124,3993,3468,525,2534,872,207,76,282,262,77,145,317,34,159,100,208,188,128,104,123,60,68,45,87%,13%,4%,96%,92%,64%,26%,0%,1%,0%,1%,5%,34%,8%,3%,11%,10%,3%,6%,13%,1%,6%,4%,8%,7%,5%,4%,5%,2%,3%,2%
4626,"3,902",129,"3,773","3,510","2,169","1,284",10,21,0,26,263,6009,5115,894,3742,767,391,105,222,295,208,336,257,221,168,340,240,245,177,189,219,0,87,42,85%,15%,3%,97%,90%,56%,33%,0%,1%,0%,1%,7%,20%,10%,3%,6%,8%,5%,9%,7%,6%,4%,9%,6%,6%,5%,5%,6%,0%,2%,1%
4639,"2,712",58,"2,654","2,488","1,548",892,8,18,1,21,166,4329,3696,633,2944,557,127,73,235,223,77,197,234,153,246,182,209,326,289,120,85,125,92,22,85%,15%,2%,98%,92%,57%,33%,0%,1%,0%,1%,6%,19%,5%,3%,9%,8%,3%,7%,9%,6%,9%,7%,8%,12%,11%,4%,3%,5%,3%,1%
4643,"3,391",59,"3,332","3,143","2,771",305,9,42,0,16,189,4947,4647,300,3334,526,169,260,183,148,137,127,387,224,242,222,107,228,246,313,187,82,16,56,94%,6%,2%,98%,93%,82%,9%,0%,1%,0%,0%,6%,16%,5%,8%,5%,4%,4%,4%,11%,7%,7%,7%,3%,7%,7%,9%,6%,2%,0%,2%
4644,"3,208",71,"3,137","2,927","1,306","1,534",6,57,1,23,210,5256,4428,828,2744,1328,172,185,119,99,46,151,236,325,98,119,87,312,180,214,252,45,31,141,84%,16%,2%,98%,91%,41%,48%,0%,2%,0%,1%,7%,48%,5%,6%,4%,3%,1%,5%,7%,10%,3%,4%,3%,10%,6%,7%,8%,1%,1%,4%
4656,"2,494",62,"2,432","2,311","1,949",301,0,50,1,10,121,4170,3930,240,2365,229,122,35,34,117,185,175,253,203,104,114,124,135,87,294,148,178,0,58,94%,6%,2%,98%,93%,78%,12%,0%,2%,0%,0%,5%,10%,5%,1%,1%,5%,7%,7%,10%,8%,4%,5%,5%,5%,3%,12%,6%,7%,0%,2%
4658,"3,605",112,"3,493","3,325","3,056",217,0,34,0,18,168,5373,4986,387,3619,272,141,182,128,218,209,197,332,251,201,275,266,144,576,194,216,54,12,33,93%,7%,3%,97%,92%,85%,6%,0%,1%,0%,0%,5%,8%,4%,5%,4%,6%,6%,5%,9%,7%,6%,8%,7%,4%,16%,5%,6%,1%,0%,1%
4687,"1,670",31,"1,639","1,547","1,426",98,0,15,0,8,92,2682,2427,255,1810,216,140,83,46,39,152,164,200,55,80,44,142,116,153,171,83,46,48,49,90%,10%,2%,98%,93%,85%,6%,0%,1%,0%,0%,6%,12%,8%,5%,3%,2%,9%,10%,12%,3%,5%,3%,9%,7%,9%,10%,5%,3%,3%,3%
4688,"2,553",76,"2,477","2,361","2,046",186,0,109,2,18,116,4230,3960,270,2547,196,107,111,65,50,107,221,214,379,162,99,137,88,288,278,62,134,12,45,94%,6%,3%,97%,92%,80%,7%,0%,4%,0%,1%,5%,8%,4%,4%,3%,2%,4%,9%,8%,15%,6%,4%,5%,3%,11%,11%,2%,5%,0%,2%
4689,"3,911",112,"3,799","3,548","2,876",278,9,362,0,23,251,6123,5616,507,3645,429,351,214,106,92,64,209,354,368,110,235,227,167,385,211,229,138,55,130,92%,8%,3%,97%,91%,74%,7%,0%,9%,0%,1%,6%,12%,9%,5%,3%,2%,2%,5%,9%,9%,3%,6%,6%,4%,10%,5%,6%,4%,1%,3%
4690,"4,941",117,"4,824","4,643","4,175",143,0,312,0,13,181,7335,6909,426,4838,455,269,200,181,168,105,476,353,387,255,316,175,417,354,512,291,99,175,123,94%,6%,2%,98%,94%,84%,3%,0%,6%,0%,0%,4%,9%,5%,4%,4%,3%,2%,10%,7%,8%,5%,6%,4%,8%,7%,10%,6%,2%,4%,2%
4703,"4,317",66,"4,251","4,128","3,861",95,1,165,0,6,123,5826,5448,378,3584,49,136,160,109,63,215,108,253,186,172,145,296,306,427,226,204,267,236,420,94%,6%,2%,98%,96%,89%,2%,0%,4%,0%,0%,3%,1%,3%,4%,3%,1%,5%,3%,6%,4%,4%,3%,7%,7%,10%,5%,5%,6%,5%,10%
4704,"3,068",68,"3,000","2,907","2,834",15,0,45,0,13,93,4323,4140,183,3050,136,145,117,199,197,84,133,272,160,188,109,104,530,203,131,227,90,70,91,96%,4%,2%,98%,95%,92%,0%,0%,1%,0%,0%,3%,4%,5%,4%,6%,6%,3%,4%,9%,5%,6%,4%,3%,17%,7%,4%,7%,3%,2%,3%
4706,"2,936",77,"2,859","2,707","2,542",104,5,40,1,15,152,4752,4380,372,3010,454,69,343,38,47,60,206,201,402,249,85,197,209,296,239,204,35,76,54,92%,8%,3%,97%,92%,87%,4%,0%,1%,0%,1%,5%,15%,2%,12%,1%,2%,2%,7%,7%,14%,8%,3%,7%,7%,10%,8%,7%,1%,3%,2%
4710,"1,288",30,"1,258","1,204","1,134",51,3,16,0,0,54,2052,1875,177,1185,83,37,40,70,17,55,79,154,50,83,47,130,114,75,87,51,42,34,20,91%,9%,2%,98%,93%,88%,4%,0%,1%,0%,0%,4%,7%,3%,3%,5%,1%,4%,6%,12%,4%,6%,4%,10%,9%,6%,7%,4%,3%,3%,2%
4721,"2,395",109,"2,286","2,196","2,021",102,3,66,0,4,90,3915,3657,258,2373,272,111,96,95,256,145,288,200,185,71,202,169,117,98,147,103,16,25,49,93%,7%,5%,95%,92%,84%,4%,0%,3%,0%,0%,4%,11%,5%,4%,4%,11%,6%,12%,8%,8%,3%,8%,7%,5%,4%,6%,4%,1%,1%,2%
4722,"2,224",91,"2,133","2,066","1,940",70,0,51,0,5,67,3378,3255,123,2185,216,53,150,73,98,50,260,206,121,258,29,255,140,172,168,91,33,26,2,96%,4%,4%,96%,93%,87%,3%,0%,2%,0%,0%,3%,10%,2%,7%,3%,4%,2%,12%,9%,5%,12%,1%,11%,6%,8%,8%,4%,1%,1%,0%
4723,"1,849",76,"1,773","1,720","1,619",59,0,34,3,5,53,3087,2838,249,1798,81,78,16,65,39,142,199,253,255,95,28,96,83,146,99,120,56,14,14,92%,8%,4%,96%,93%,88%,3%,0%,2%,0%,0%,3%,5%,4%,1%,4%,2%,8%,11%,14%,14%,5%,2%,5%,4%,8%,5%,6%,3%,1%,1%
4724,"1,776",50,"1,726","1,673","1,609",29,0,26,0,9,53,2517,2403,114,1764,114,163,96,61,84,45,104,198,243,148,56,109,47,125,27,132,42,47,37,95%,5%,3%,97%,94%,91%,2%,0%,1%,0%,1%,3%,6%,9%,5%,3%,5%,3%,6%,11%,14%,8%,3%,6%,3%,7%,2%,7%,2%,3%,2%
4731,"4,963",167,"4,796","4,602","4,350",69,1,172,0,10,194,6879,6498,381,4630,86,297,305,431,331,116,160,148,367,251,260,403,276,484,334,220,64,59,124,94%,6%,3%,97%,93%,88%,1%,0%,3%,0%,0%,4%,2%,6%,6%,9%,7%,2%,3%,3%,7%,5%,5%,8%,6%,10%,7%,4%,1%,1%,2%
4732,"3,294",129,"3,165","3,029","2,748",62,4,199,0,16,136,5199,4875,324,3153,171,80,156,231,224,75,183,215,247,213,250,258,81,175,215,198,98,83,173,94%,6%,4%,96%,92%,83%,2%,0%,6%,0%,0%,4%,5%,2%,5%,7%,7%,2%,6%,7%,7%,6%,8%,8%,2%,5%,7%,6%,3%,3%,5%
4733,"5,771",266,"5,505","5,253","4,986",54,0,199,1,13,252,7521,7152,369,5765,160,223,378,423,462,128,238,726,373,224,573,264,473,172,344,225,304,130,207,95%,5%,5%,95%,91%,86%,1%,0%,3%,0%,0%,4%,3%,4%,7%,7%,8%,2%,4%,13%,6%,4%,10%,5%,8%,3%,6%,4%,5%,2%,4%
4735,"3,788",130,"3,658","3,529","3,350",48,4,101,0,26,129,4065,3894,171,3656,49,186,287,476,259,97,86,113,191,289,350,344,293,238,134,156,86,91,99,96%,4%,3%,97%,93%,88%,1%,0%,3%,0%,1%,3%,1%,5%,8%,13%,7%,3%,2%,3%,5%,8%,9%,9%,8%,6%,4%,4%,2%,2%,3%
4752,"5,568",130,"5,438","5,276","5,061",73,6,113,0,23,162,7287,7020,267,5283,219,129,228,472,236,312,212,253,197,347,396,557,574,490,296,178,159,139,108,96%,4%,2%,98%,95%,91%,1%,0%,2%,0%,0%,3%,4%,2%,4%,8%,4%,6%,4%,5%,4%,6%,7%,10%,10%,9%,5%,3%,3%,2%,2%
4761,"4,979",121,"4,858","4,665","3,968",225,2,437,0,33,193,7950,7413,537,4987,419,151,415,330,186,195,447,460,149,726,189,156,432,225,281,157,242,199,47,93%,7%,2%,98%,94%,80%,5%,0%,9%,0%,1%,4%,8%,3%,8%,7%,4%,4%,9%,9%,3%,15%,4%,3%,9%,5%,6%,3%,5%,4%,1%
4762,"3,270",50,"3,220","3,133","2,945",75,0,92,2,19,87,4722,4497,225,3191,272,137,113,89,263,83,285,403,181,273,91,187,191,247,248,160,182,59,58,95%,5%,2%,98%,96%,90%,2%,0%,3%,0%,1%,3%,9%,4%,3%,3%,8%,3%,9%,12%,6%,8%,3%,6%,6%,8%,8%,5%,6%,2%,2%
4771,"3,779",60,"3,719","3,606","3,407",30,0,163,0,6,113,5289,4989,300,3997,330,282,214,150,142,28,289,415,176,214,160,153,353,289,307,270,256,185,173,94%,6%,2%,98%,95%,90%,1%,0%,4%,0%,0%,3%,8%,7%,6%,4%,4%,1%,8%,11%,5%,6%,4%,4%,9%,8%,8%,7%,7%,5%,5%
4772,"4,466",52,"4,414","4,318","4,005",28,0,278,1,6,96,6213,5991,222,4234,209,203,137,188,379,89,135,194,384,225,202,379,357,254,305,223,287,121,322,96%,4%,1%,99%,97%,90%,1%,0%,6%,0%,0%,2%,5%,5%,3%,4%,8%,2%,3%,4%,9%,5%,5%,8%,8%,6%,7%,5%,6%,3%,7%
4773,"6,819",98,"6,721","6,508","4,309",624,8,"1,541",2,24,213,9180,8430,750,6394,661,567,471,155,236,372,460,620,637,272,212,407,560,383,327,287,133,121,203,92%,8%,1%,99%,95%,63%,9%,0%,23%,0%,0%,3%,10%,8%,7%,2%,3%,5%,7%,9%,9%,4%,3%,6%,8%,6%,5%,4%,2%,2%,3%
4781,"4,363",161,"4,202","4,063","3,425",287,8,307,3,33,139,6627,6159,468,4372,1048,217,226,572,189,196,453,256,434,390,233,249,115,147,226,203,114,105,58,93%,7%,4%,96%,93%,79%,7%,0%,7%,0%,1%,3%,24%,5%,5%,13%,4%,4%,10%,6%,10%,9%,5%,6%,3%,3%,5%,5%,3%,2%,1%
4782,"5,719",182,"5,537","5,311","4,601",275,3,401,0,31,226,7962,7335,627,5544,686,593,320,251,242,248,156,640,536,361,268,225,115,614,360,195,316,70,34,92%,8%,3%,97%,93%,80%,5%,0%,7%,0%,1%,4%,12%,10%,6%,4%,4%,4%,3%,11%,9%,6%,5%,4%,2%,11%,6%,3%,6%,1%,1%
4790,"1,985",23,"1,962","1,888","1,786",26,0,74,0,2,74,2676,2589,87,1959,61,150,68,194,71,46,102,223,99,123,133,68,139,144,167,93,49,53,37,97%,3%,1%,99%,95%,90%,1%,0%,4%,0%,0%,4%,3%,8%,3%,10%,4%,2%,5%,11%,5%,6%,7%,3%,7%,7%,8%,5%,2%,3%,2%
4802,"3,797",37,"3,760","3,645","2,856",113,6,660,0,10,115,4593,4350,243,3582,128,91,284,217,111,88,153,258,402,368,148,182,289,267,328,183,126,112,174,95%,5%,1%,99%,96%,75%,3%,0%,17%,0%,0%,3%,4%,2%,7%,6%,3%,2%,4%,7%,11%,10%,4%,5%,8%,7%,9%,5%,3%,3%,5%
