Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
451102,"6,047",517,"5,530","5,268","4,394",592,14,245,0,23,262,6660,6174,486,5084,163,234,367,393,1133,971,284,217,534,122,416,380,204,330,251,297,199,44,115,93%,7%,9%,91%,87%,73%,10%,0%,4%,0%,0%,4%,3%,4%,6%,6%,19%,16%,5%,4%,9%,2%,7%,6%,3%,5%,4%,5%,3%,1%,2%
451104,"3,966",82,"3,884","3,703","3,428",109,0,159,1,6,181,4200,4170,30,3921,29,371,333,180,147,244,85,245,418,188,211,381,230,245,134,196,185,119,9,99%,1%,2%,98%,93%,86%,3%,0%,4%,0%,0%,5%,1%,9%,8%,5%,4%,6%,2%,6%,11%,5%,5%,10%,6%,6%,3%,5%,5%,3%,0%
451105,"5,625",242,"5,383","5,092","4,103",402,10,540,2,35,291,7746,7116,630,5618,270,222,195,236,326,607,1122,237,283,522,363,238,546,242,297,108,107,86,71,92%,8%,4%,96%,91%,73%,7%,0%,10%,0%,1%,5%,5%,4%,3%,4%,6%,11%,20%,4%,5%,9%,6%,4%,10%,4%,5%,2%,2%,2%,1%
453003,"2,184",26,"2,158","2,086","1,988",53,8,16,1,20,72,2301,2166,135,1824,104,65,41,104,206,157,65,145,35,102,122,163,232,226,127,88,44,40,27,94%,6%,1%,99%,96%,91%,2%,0%,1%,0%,1%,3%,6%,3%,2%,5%,9%,7%,3%,7%,2%,5%,6%,7%,11%,10%,6%,4%,2%,2%,1%
453004,"7,258",251,"7,007","6,708","5,991",337,4,331,3,42,299,10335,9789,546,7245,456,202,480,428,291,300,581,807,434,884,470,270,480,466,527,258,227,119,55,95%,5%,3%,97%,92%,83%,5%,0%,5%,0%,1%,4%,6%,3%,7%,6%,4%,4%,8%,11%,6%,12%,6%,4%,7%,6%,7%,4%,3%,2%,1%
456001,"4,679",81,"4,598","4,392","3,855",68,10,453,0,6,206,5070,4833,237,4561,149,356,398,353,326,93,123,311,396,369,233,337,379,317,306,143,66,45,10,95%,5%,2%,98%,94%,82%,1%,0%,10%,0%,0%,4%,3%,8%,9%,8%,7%,2%,3%,7%,8%,8%,5%,7%,8%,7%,7%,3%,1%,1%,0%
456003,"8,059",161,"7,898","7,661","6,088",153,8,"1,393",0,19,237,8892,8565,327,7593,216,328,771,843,431,68,178,386,722,712,581,670,482,459,320,192,198,141,131,96%,4%,2%,98%,95%,76%,2%,0%,17%,0%,0%,3%,3%,4%,10%,10%,5%,1%,2%,5%,9%,9%,7%,8%,6%,6%,4%,2%,2%,2%,2%
456004,"5,620",121,"5,499","5,329","4,728",148,7,419,3,24,170,7308,6963,345,5810,221,380,288,357,325,315,246,393,338,306,232,491,385,389,366,436,208,118,581,95%,5%,2%,98%,95%,84%,3%,0%,7%,0%,0%,3%,4%,7%,5%,6%,6%,6%,4%,7%,6%,5%,4%,9%,7%,7%,7%,8%,4%,2%,10%
458001,"4,333",103,"4,230","4,091","3,657",97,4,306,4,23,139,6357,5817,540,4273,242,187,143,288,270,128,222,132,224,299,358,189,378,333,404,438,125,27,128,92%,8%,2%,98%,94%,84%,2%,0%,7%,0%,1%,3%,6%,4%,3%,7%,6%,3%,5%,3%,5%,7%,8%,4%,9%,8%,9%,10%,3%,1%,3%
458002,"4,602",48,"4,554","4,445","4,287",55,1,76,1,25,109,6210,5907,303,4620,172,283,256,168,94,75,84,411,376,280,315,259,298,427,484,351,170,189,116,95%,5%,1%,99%,97%,93%,1%,0%,2%,0%,1%,2%,4%,6%,6%,4%,2%,2%,2%,9%,8%,6%,7%,6%,6%,9%,11%,8%,4%,4%,3%
459101,"1,733",33,"1,700","1,637","1,459",144,3,19,0,12,63,2130,2019,111,1722,272,161,89,134,107,32,149,146,73,62,86,80,142,176,64,28,115,47,31,95%,5%,2%,98%,94%,84%,8%,0%,1%,0%,1%,4%,16%,9%,5%,8%,6%,2%,9%,8%,4%,4%,5%,5%,8%,10%,4%,2%,7%,3%,2%
459102,"6,426",168,"6,258","6,077","5,550",164,4,336,0,23,181,8037,7674,363,6371,296,224,477,211,375,126,318,177,718,183,467,600,389,560,619,493,176,162,96,95%,5%,3%,97%,95%,86%,3%,0%,5%,0%,0%,3%,5%,3%,7%,3%,6%,2%,5%,3%,11%,3%,7%,9%,6%,9%,10%,8%,3%,3%,1%
459201,"7,344",222,"7,122","6,866","6,110",283,6,427,0,40,256,11433,10359,1074,7280,344,465,198,307,365,576,745,790,678,400,468,304,360,355,419,589,159,75,107,91%,9%,3%,97%,93%,83%,4%,0%,6%,0%,1%,3%,5%,6%,3%,4%,5%,8%,10%,11%,9%,5%,6%,4%,5%,5%,6%,8%,2%,1%,1%
459202,677,10,667,651,629,12,0,10,0,0,16,1497,1410,87,672,65,5,0,25,11,52,67,74,103,17,36,28,33,84,46,43,31,15,2,94%,6%,1%,99%,96%,93%,2%,0%,1%,0%,0%,2%,10%,1%,0%,4%,2%,8%,10%,11%,15%,3%,5%,4%,5%,12%,7%,6%,5%,2%,0%
460001,"4,925",89,"4,836","4,702","4,497",123,2,65,0,15,134,6474,6309,165,4783,295,178,281,200,117,98,291,149,412,242,306,290,371,789,156,363,237,180,178,97%,3%,2%,98%,95%,91%,2%,0%,1%,0%,0%,3%,6%,4%,6%,4%,2%,2%,6%,3%,8%,5%,6%,6%,8%,16%,3%,7%,5%,4%,4%
460002,"3,776",52,"3,724","3,613","3,329",199,0,70,0,15,111,5334,5085,249,3730,399,226,182,250,168,129,184,213,334,225,175,234,209,255,273,190,305,164,23,95%,5%,1%,99%,96%,88%,5%,0%,2%,0%,0%,3%,11%,6%,5%,7%,4%,3%,5%,6%,9%,6%,5%,6%,6%,7%,7%,5%,8%,4%,1%
470501,"4,317",75,"4,242","4,172","1,961",93,9,"2,099",0,10,70,6723,6183,540,4400,198,296,291,234,111,253,512,963,432,295,169,102,117,80,214,63,65,124,79,92%,8%,2%,98%,97%,45%,2%,0%,49%,0%,0%,2%,5%,7%,7%,5%,3%,6%,12%,22%,10%,7%,4%,2%,3%,2%,5%,1%,2%,3%,2%
470502,"3,011",74,"2,937","2,853","2,590",103,0,153,0,7,84,4077,3888,189,2814,78,134,36,213,95,7,174,183,320,66,230,35,205,288,353,179,126,117,220,95%,5%,2%,98%,95%,86%,3%,0%,5%,0%,0%,3%,3%,4%,1%,7%,3%,0%,6%,6%,11%,2%,8%,1%,7%,10%,12%,6%,4%,4%,7%
473401,"3,731",118,"3,613","3,456","3,219",78,2,146,0,11,157,5022,4737,285,3831,158,137,278,368,364,76,147,227,246,402,244,318,282,263,212,149,74,44,0,94%,6%,3%,97%,93%,86%,2%,0%,4%,0%,0%,4%,4%,4%,7%,10%,10%,2%,4%,6%,7%,11%,7%,9%,8%,7%,6%,4%,2%,1%,0%
473402,"3,678",110,"3,568","3,415","3,178",51,0,168,3,15,153,4764,4458,306,3810,230,128,383,306,205,95,78,149,174,645,202,232,228,309,131,263,95,106,81,94%,6%,3%,97%,93%,86%,1%,0%,5%,0%,0%,4%,6%,3%,10%,8%,6%,3%,2%,4%,5%,18%,5%,6%,6%,8%,4%,7%,3%,3%,2%
473601,"4,136",95,"4,041","3,891","3,628",69,0,177,0,17,150,5247,4860,387,3780,206,160,309,293,203,40,64,131,237,296,273,249,166,339,333,298,239,112,131,93%,7%,2%,98%,94%,88%,2%,0%,4%,0%,0%,4%,5%,4%,7%,7%,5%,1%,2%,3%,6%,7%,7%,6%,4%,8%,8%,7%,6%,3%,3%
473602,"4,714",117,"4,597","4,449","3,994",49,1,395,0,10,148,5958,5709,249,4500,101,155,302,284,245,83,104,121,466,233,215,258,330,288,405,411,269,248,197,96%,4%,2%,98%,94%,85%,1%,0%,8%,0%,0%,3%,2%,3%,6%,6%,5%,2%,2%,3%,10%,5%,5%,5%,7%,6%,9%,9%,6%,5%,4%
474101,"4,460",127,"4,333","4,200","3,424",52,2,704,0,18,133,4767,4593,174,4287,250,259,328,317,410,67,128,139,362,358,347,312,407,233,177,160,196,11,76,96%,4%,3%,97%,94%,77%,1%,0%,16%,0%,0%,3%,6%,6%,7%,7%,9%,2%,3%,3%,8%,8%,8%,7%,9%,5%,4%,4%,4%,0%,2%
474102,"3,901",98,"3,803","3,679","3,438",35,5,187,2,12,124,4473,4212,261,3632,83,259,362,260,162,27,89,244,291,265,285,192,325,133,149,169,97,129,194,94%,6%,3%,97%,94%,88%,1%,0%,5%,0%,0%,3%,2%,7%,9%,7%,4%,1%,2%,6%,7%,7%,7%,5%,8%,3%,4%,4%,2%,3%,5%
474201,"2,634",67,"2,567","2,439","2,193",22,0,209,1,14,128,2793,2703,90,2683,49,99,149,132,181,108,85,110,105,218,180,215,280,242,193,142,181,41,22,97%,3%,3%,97%,93%,83%,1%,0%,8%,0%,1%,5%,2%,4%,6%,5%,7%,4%,3%,4%,4%,8%,7%,8%,11%,9%,7%,5%,7%,2%,1%
474202,"5,363",155,"5,208","5,031","4,530",34,5,448,0,14,177,6597,6126,471,5217,87,230,338,355,386,303,213,107,317,427,289,410,414,293,254,190,170,68,525,93%,7%,3%,97%,94%,84%,1%,0%,8%,0%,0%,3%,2%,4%,6%,7%,7%,6%,4%,2%,6%,8%,5%,8%,8%,5%,5%,4%,3%,1%,10%
474203,"4,802",129,"4,673","4,481","3,977",46,0,436,0,22,192,5031,4884,147,5002,129,412,328,382,443,179,152,249,233,295,265,590,418,204,275,171,140,105,161,97%,3%,3%,97%,93%,83%,1%,0%,9%,0%,0%,4%,3%,9%,7%,8%,9%,4%,3%,5%,5%,6%,6%,12%,9%,4%,6%,4%,3%,2%,3%
475101,"4,977",115,"4,862","4,714","4,344",95,0,268,1,6,148,7974,7314,660,4401,320,143,182,84,255,77,292,141,301,250,395,267,242,318,374,420,282,156,385,92%,8%,2%,98%,95%,87%,2%,0%,5%,0%,0%,3%,7%,3%,4%,2%,5%,2%,6%,3%,6%,5%,8%,5%,5%,6%,8%,8%,6%,3%,8%
475102,"1,677",19,"1,658","1,610","1,567",17,0,25,1,0,48,2121,2004,117,1701,42,58,122,121,96,54,38,102,82,147,73,112,86,234,174,105,42,40,15,94%,6%,1%,99%,96%,93%,1%,0%,1%,0%,0%,3%,2%,3%,7%,7%,6%,3%,2%,6%,5%,9%,4%,7%,5%,14%,10%,6%,3%,2%,1%
475301,"4,460",77,"4,383","4,250","4,002",139,5,87,0,17,133,6549,6246,303,4598,146,271,95,130,429,205,244,282,277,208,263,268,451,373,288,518,109,113,74,95%,5%,2%,98%,95%,90%,3%,0%,2%,0%,0%,3%,3%,6%,2%,3%,10%,5%,5%,6%,6%,5%,6%,6%,10%,8%,6%,12%,2%,3%,2%
475303,"4,150",64,"4,086","3,934","3,847",31,0,41,0,15,152,5049,4776,273,4301,93,278,381,259,89,90,237,262,335,254,325,109,315,309,305,427,72,103,151,95%,5%,2%,98%,95%,93%,1%,0%,1%,0%,0%,4%,2%,7%,9%,6%,2%,2%,6%,6%,8%,6%,8%,3%,8%,7%,7%,10%,2%,2%,4%
475304,"5,466",91,"5,375","5,201","4,976",53,2,161,3,6,174,7119,6867,252,5488,284,383,363,158,284,217,351,398,467,112,324,434,316,605,316,385,249,46,144,96%,4%,2%,98%,95%,91%,1%,0%,3%,0%,0%,3%,5%,7%,7%,3%,5%,4%,6%,7%,9%,2%,6%,8%,6%,11%,6%,7%,5%,1%,3%
475401,"4,066",60,"4,006","3,912","3,689",42,0,170,3,8,94,5298,5070,228,3812,151,158,176,94,223,79,220,171,202,185,187,180,438,294,318,322,240,110,217,96%,4%,1%,99%,96%,91%,1%,0%,4%,0%,0%,2%,4%,4%,4%,2%,5%,2%,5%,4%,5%,5%,5%,4%,11%,7%,8%,8%,6%,3%,5%
475402,"3,213",38,"3,175","3,054","2,948",28,0,68,0,10,121,3978,3792,186,3257,159,153,161,181,150,176,174,354,176,141,137,440,216,120,181,225,154,57,61,95%,5%,1%,99%,95%,92%,1%,0%,2%,0%,0%,4%,5%,5%,5%,6%,5%,5%,5%,11%,5%,4%,4%,14%,7%,4%,6%,7%,5%,2%,2%
480101,"5,975",119,"5,856","5,679","3,481",654,6,"1,503",10,25,177,8166,7650,516,5767,998,361,554,352,239,402,603,470,353,410,271,177,290,347,362,201,84,33,369,94%,6%,2%,98%,95%,58%,11%,0%,25%,0%,0%,3%,17%,6%,9%,6%,4%,7%,10%,8%,6%,7%,5%,3%,5%,6%,6%,3%,1%,1%,6%
480102,"3,121",48,"3,073","2,980","2,688",67,2,217,2,4,93,4095,3969,126,3055,220,137,102,128,222,149,219,138,214,200,165,207,140,290,255,186,190,72,41,97%,3%,2%,98%,95%,86%,2%,0%,7%,0%,0%,3%,7%,4%,3%,4%,7%,5%,7%,4%,7%,6%,5%,7%,4%,9%,8%,6%,6%,2%,1%
489001,"4,703",79,"4,624","4,502","4,184",170,3,136,0,9,122,6213,5796,417,4762,93,192,322,242,274,373,207,226,272,406,442,466,158,281,267,169,221,152,232,93%,7%,2%,98%,96%,89%,4%,0%,3%,0%,0%,3%,2%,4%,7%,5%,6%,8%,4%,5%,6%,9%,9%,10%,3%,6%,6%,4%,5%,3%,5%
489002,"3,801",69,"3,732","3,619","3,290",94,1,221,0,13,113,4764,4626,138,3516,157,188,173,163,133,122,190,279,161,205,195,179,233,464,250,278,143,83,77,97%,3%,2%,98%,95%,87%,2%,0%,6%,0%,0%,3%,4%,5%,5%,4%,3%,3%,5%,7%,4%,5%,5%,5%,6%,12%,7%,7%,4%,2%,2%
490002,"5,102",111,"4,991","4,777","4,390",227,3,144,0,13,214,7410,6837,573,4777,115,214,228,173,267,130,331,314,408,266,243,428,300,401,333,214,401,71,62,92%,8%,2%,98%,94%,86%,4%,0%,3%,0%,0%,4%,2%,4%,4%,3%,5%,3%,6%,6%,8%,5%,5%,8%,6%,8%,7%,4%,8%,1%,1%
490003,"3,679",39,"3,640","3,535","3,384",78,0,68,0,5,105,4635,4434,201,3822,137,325,183,204,115,90,228,307,357,214,150,317,342,251,231,265,113,88,42,96%,4%,1%,99%,96%,92%,2%,0%,2%,0%,0%,3%,4%,9%,5%,6%,3%,2%,6%,8%,10%,6%,4%,9%,9%,7%,6%,7%,3%,2%,1%
490004,"4,946",51,"4,895","4,731","4,551",107,8,35,5,25,164,5997,5760,237,5033,204,215,436,445,327,189,232,348,303,342,299,251,341,357,306,283,309,73,24,96%,4%,1%,99%,96%,92%,2%,0%,1%,0%,1%,3%,4%,4%,9%,9%,7%,4%,5%,7%,6%,7%,6%,5%,7%,7%,6%,6%,6%,1%,0%
491101,"7,681",168,"7,513","7,294","6,659",211,5,397,1,21,219,8706,8421,285,7446,83,379,516,609,373,253,264,410,474,641,262,418,389,637,729,438,249,274,238,97%,3%,2%,98%,95%,87%,3%,0%,5%,0%,0%,3%,1%,5%,7%,8%,5%,3%,3%,5%,6%,8%,3%,5%,5%,8%,9%,6%,3%,4%,3%
496101,"3,031",40,"2,991","2,891","2,825",45,1,12,0,8,100,3876,3654,222,2732,150,142,125,193,132,105,85,208,192,140,189,99,139,241,190,292,185,27,48,94%,6%,1%,99%,95%,93%,1%,0%,0%,0%,0%,3%,5%,5%,4%,6%,4%,3%,3%,7%,6%,5%,6%,3%,5%,8%,6%,10%,6%,1%,2%
496102,"4,370",34,"4,336","4,211","4,089",96,3,15,0,8,125,5925,5592,333,4367,336,195,386,150,124,216,224,402,198,141,295,247,149,583,194,275,127,205,256,94%,6%,1%,99%,96%,94%,2%,0%,0%,0%,0%,3%,8%,4%,9%,3%,3%,5%,5%,9%,5%,3%,7%,6%,3%,13%,4%,6%,3%,5%,6%
503002,"5,846",91,"5,755","5,555","5,111",369,7,34,5,29,200,8832,8337,495,5720,430,118,276,338,444,290,127,396,242,322,128,433,413,576,539,378,212,148,471,94%,6%,2%,98%,95%,87%,6%,0%,1%,0%,0%,3%,8%,2%,5%,6%,8%,5%,2%,7%,4%,6%,2%,7%,7%,10%,9%,6%,4%,3%,8%
515401,"2,290",92,"2,198","2,116","1,772",284,0,55,0,5,82,3627,3375,252,2182,189,77,82,153,139,110,148,178,267,236,128,199,117,96,84,138,30,0,0,93%,7%,4%,96%,92%,77%,12%,0%,2%,0%,0%,4%,9%,3%,4%,7%,6%,5%,6%,8%,12%,10%,6%,9%,5%,4%,4%,6%,1%,0%,0%
518001,"3,286",73,"3,213","3,113","2,741",283,1,70,2,16,100,5154,4887,267,3116,108,153,61,53,109,90,116,293,277,175,96,171,246,313,328,250,170,59,167,95%,5%,2%,98%,95%,83%,9%,0%,2%,0%,0%,3%,3%,5%,2%,2%,3%,3%,4%,9%,8%,5%,3%,5%,7%,10%,10%,8%,5%,2%,5%
520001,"3,258",51,"3,207","3,088","2,347",601,0,116,4,20,119,5106,4845,261,2998,332,165,122,81,98,95,138,155,160,194,137,187,220,231,272,187,153,201,202,95%,5%,2%,98%,95%,72%,18%,0%,4%,0%,1%,4%,11%,5%,4%,2%,3%,3%,4%,5%,5%,6%,4%,6%,7%,7%,8%,6%,5%,6%,6%
520002,"3,092",98,"2,994","2,822","2,147",631,3,36,0,5,172,5058,4656,402,3256,262,163,162,226,124,227,204,362,199,209,195,97,131,197,217,219,184,53,87,92%,8%,3%,97%,91%,69%,20%,0%,1%,0%,0%,6%,8%,5%,5%,7%,4%,7%,7%,12%,6%,7%,6%,3%,4%,6%,7%,7%,6%,2%,3%
521301,"4,216",111,"4,105","3,892","2,656",859,6,345,0,26,213,6594,6171,423,4077,572,129,329,124,240,356,344,165,219,332,199,237,371,371,190,234,189,105,101,94%,6%,3%,97%,92%,63%,20%,0%,8%,0%,1%,5%,14%,3%,8%,3%,6%,8%,8%,4%,5%,8%,5%,6%,9%,9%,5%,6%,4%,2%,2%
521302,"4,516",146,"4,370","4,201","2,795",798,7,575,2,24,169,6723,6147,576,3742,376,331,171,148,122,228,319,176,303,320,268,159,290,224,253,234,90,129,121,91%,9%,3%,97%,93%,62%,18%,0%,13%,0%,1%,4%,10%,7%,4%,3%,3%,5%,7%,4%,7%,7%,6%,4%,6%,5%,6%,5%,2%,3%,3%
521401,"2,924",99,"2,825","2,720","2,323",234,0,147,3,13,105,3921,3720,201,2838,136,133,52,123,78,267,131,252,173,120,162,374,205,180,138,143,172,135,194,95%,5%,3%,97%,93%,79%,8%,0%,5%,0%,0%,4%,5%,5%,2%,4%,3%,9%,4%,9%,6%,4%,6%,13%,7%,6%,5%,5%,6%,5%,7%
521402,"3,855",63,"3,792","3,646","2,892",420,4,306,0,24,146,4749,4569,180,3853,233,286,308,265,166,81,138,299,265,305,256,233,142,373,190,258,125,119,112,96%,4%,2%,98%,95%,75%,11%,0%,8%,0%,1%,4%,6%,7%,8%,7%,4%,2%,4%,8%,7%,8%,7%,6%,4%,10%,5%,7%,3%,3%,3%
523501,"4,703",123,"4,580","4,325","1,872","2,350",11,35,1,56,255,6354,5919,435,3761,427,27,141,401,185,103,385,181,138,275,187,268,276,419,398,187,130,30,30,93%,7%,3%,97%,92%,40%,50%,0%,1%,0%,1%,5%,11%,1%,3%,9%,4%,2%,8%,4%,3%,6%,4%,6%,6%,9%,8%,4%,3%,1%,1%
523502,"1,497",52,"1,445","1,370",935,419,1,1,0,14,75,2172,1980,192,1277,115,105,73,0,15,41,119,54,26,31,38,87,123,73,161,178,45,25,83,91%,9%,3%,97%,92%,62%,28%,0%,0%,0%,1%,5%,9%,7%,5%,0%,1%,3%,8%,4%,2%,2%,3%,6%,8%,5%,11%,12%,3%,2%,6%
523701,"3,868",64,"3,804","3,629","2,972",622,3,21,0,11,175,5700,5382,318,3644,651,289,135,194,66,115,252,403,274,141,140,178,267,243,272,314,154,93,114,94%,6%,2%,98%,94%,77%,16%,0%,1%,0%,0%,5%,18%,7%,3%,5%,2%,3%,7%,10%,7%,4%,4%,5%,7%,6%,7%,8%,4%,2%,3%
523702,"5,176",119,"5,057","4,792","3,159","1,544",6,54,0,29,265,8127,7581,546,5475,571,267,275,321,141,240,751,362,191,143,240,586,423,586,368,231,35,149,166,93%,7%,2%,98%,93%,61%,30%,0%,1%,0%,1%,5%,10%,5%,5%,6%,3%,5%,15%,7%,4%,3%,5%,11%,8%,11%,7%,4%,1%,3%,3%
526101,"7,410",83,"7,327","7,114","6,763",256,4,75,5,11,213,9867,9309,558,7452,184,274,487,631,807,449,180,279,366,694,608,563,396,501,254,267,64,117,576,94%,6%,1%,99%,96%,91%,3%,0%,1%,0%,0%,3%,2%,4%,7%,9%,11%,6%,2%,4%,5%,9%,8%,8%,5%,7%,3%,4%,1%,2%,8%
526102,"2,327",50,"2,277","2,201","2,120",53,4,22,0,2,76,2964,2853,111,2297,130,179,158,113,82,136,132,228,129,117,118,86,203,161,164,79,92,74,60,96%,4%,2%,98%,95%,91%,2%,0%,1%,0%,0%,3%,6%,8%,7%,5%,4%,6%,6%,10%,6%,5%,5%,4%,9%,7%,7%,3%,4%,3%,3%
526201,"3,704",56,"3,648","3,491","3,335",98,0,49,0,9,157,4626,4392,234,3494,81,175,264,138,151,67,244,157,191,220,178,113,406,365,270,157,124,103,171,95%,5%,2%,98%,94%,90%,3%,0%,1%,0%,0%,4%,2%,5%,7%,4%,4%,2%,7%,4%,5%,6%,5%,3%,11%,10%,7%,4%,3%,3%,5%
526202,"4,649",101,"4,548","4,383","3,954",322,4,71,1,31,165,6141,5850,291,4725,189,276,414,348,93,155,250,308,418,296,421,238,484,388,148,201,71,40,188,95%,5%,2%,98%,94%,85%,7%,0%,2%,0%,1%,4%,4%,6%,9%,7%,2%,3%,5%,7%,9%,6%,9%,5%,10%,8%,3%,4%,2%,1%,4%
526301,"3,989",50,"3,939","3,822","3,678",104,0,20,0,20,117,5064,4929,135,3720,148,143,183,121,168,139,161,239,126,274,185,264,188,302,480,260,241,155,91,97%,3%,1%,99%,96%,92%,3%,0%,1%,0%,1%,3%,4%,4%,5%,3%,4%,3%,4%,6%,3%,7%,5%,7%,5%,8%,12%,7%,6%,4%,2%
526302,"5,065",109,"4,956","4,789","4,334",351,6,86,0,12,167,6945,6603,342,5098,86,408,247,189,259,264,591,270,412,246,257,397,183,316,335,224,251,180,69,95%,5%,2%,98%,95%,86%,7%,0%,2%,0%,0%,3%,2%,8%,5%,4%,5%,5%,12%,5%,8%,5%,5%,8%,4%,6%,7%,4%,5%,4%,1%
562901,"1,433",43,"1,390","1,309",838,416,4,43,0,8,81,2280,1881,399,1534,528,199,97,169,79,98,77,136,90,101,52,137,20,80,92,49,37,14,7,83%,18%,3%,97%,91%,58%,29%,0%,3%,0%,1%,6%,34%,14%,7%,12%,6%,7%,5%,9%,6%,7%,4%,10%,1%,6%,6%,3%,3%,1%,0%
563201,301,11,290,272,247,9,0,15,0,1,18,699,642,57,261,6,0,0,0,0,5,29,47,18,15,5,20,40,57,14,6,0,0,5,92%,8%,4%,96%,90%,82%,3%,0%,5%,0%,0%,6%,2%,0%,0%,0%,0%,2%,10%,16%,6%,5%,2%,7%,13%,19%,5%,2%,0%,0%,2%
563202,"1,903",73,"1,830","1,742","1,256",438,2,42,2,2,88,4398,3378,1020,1956,360,87,45,0,26,49,212,182,282,123,112,132,226,153,115,81,79,18,34,77%,23%,4%,96%,92%,66%,23%,0%,2%,0%,0%,5%,18%,5%,2%,0%,1%,3%,11%,10%,15%,6%,6%,7%,12%,8%,6%,4%,4%,1%,2%
NA,"302,971","11,620","291,351","277,810","187,099","68,314",475,"19,745",96,"2,081","13,541",157695,139726,17969,280914,54689,13286,11859,12497,24647,34367,33093,30059,21204,16702,13392,14007,15523,17264,15465,11857,7421,4840,6137,89%,11%,4%,96%,92%,62%,23%,0%,7%,0%,1%,4%,19%,4%,4%,4%,8%,11%,11%,10%,7%,6%,4%,5%,5%,6%,5%,4%,2%,2%,2%